Estado,Casos_Confirmados,Mortes,Populacao,Taxa_Mortalidade,Incidencia
AC,160452,2043,881935.0000845096,1.2732779896791564,18193.1775
AL,337568,7242,3337356.999418752,2.1453455303820266,10114.83039
AM,631976,14443,4144596.9999196082,2.2853715963897363,15248.18939
AP,185673,2167,845731.0000649029,1.1671056104010815,21954.14381
BA,1792572,31459,14873063.995327732,1.7549643752105912,12052.47285
CE,1453417,28157,9132077.999527397,1.9372967290185819,15915.512329999998
DF,898072,11845,3015267.999644157,1.3189365663332115,29784.15186
ES,1323595,15041,4018649.9996529976,1.1363747974267053,32936.30946
GO,1900459,28041,7018354.0006264495,1.4754856589908016,27078.41468
MA,493418,11053,7075181.002847207,2.240088525347677,6973.927589999999
MG,4189760,65507,21168790.99779297,1.5635024440540748,19792.15535
MS,607776,11016,2778986.000089864,1.8125098720581267,21870.42324
MT,879415,15090,3484465.999841246,1.7159134197165162,25238.15701
PA,872068,19025,8602865.002601927,2.1815959305925685,10136.94856
PB,707854,10542,4018127.0004611323,1.4892901643559264,17616.51635
PE,1157160,22687,9557070.996856198,1.9605758927028243,12107.89373
PI,424866,8354,3273226.999364822,1.9662670112458986,12980.03469
PR,2920177,46022,11433957.001554592,1.5760003588823555,25539.51357
RJ,2754359,76852,17264942.99611901,2.790195468346719,15953.478680000002
RN,585935,8715,3506852.999500934,1.4873663460964102,16708.28518
RO,482910,7432,1777224.9997476642,1.5390031268766435,27172.13634
RR,182505,2180,605760.9998995862,1.1944878222514452,30128.218889999996
RS,2962414,41921,11377239.000549011,1.4150959318987826,26038.07479
SC,1986447,22703,7164787.999932901,1.142894826793768,27725.132969999995
SE,359692,6502,2298695.999745112,1.8076576626669485,15647.65415
SP,6469442,179039,45919048.98560444,2.7674566059947674,14088.79788
TO,365538,4232,1572865.999990551,1.1577455695440693,23240.2506
